State,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Malaysia,21.47,24.64,22.06,26.9,28.0,28.2,27.64,30.7,35.29,34.94,34.38
Johor,16.88,19.68,19.28,19.7,20.9,21.8,21.19,24.17,28.92,30.71,32.17
Kedah,18.44,22.31,19.2,16.13,17.5,20.6,24.8,23.23,29.47,30.45,30.12
Kelantan,12.73,16.57,18.53,21.79,29.3,28.5,26.89,29.65,35.06,34.8,32.42
Melaka,29.61,36.31,24.57,26.73,30.5,28.3,28.3,28.79,34.23,34.34,36.45
N. Sembilan,24.38,28.34,28.1,31.75,30.1,30.9,31.4,36.08,39.9,37.18,32.85
Pahang,19.06,19.42,14.73,20.8,24.7,24.5,34.19,38.82,40.44,38.57,39.79
Perak,22.49,25.29,24.39,28.94,28.94,32.9,29.46,31.8,37.3,37.31,34.73
Perlis,23.04,28.3,29.78,32.24,29.4,26.0,27.34,32.47,36.5,35.91,33.75
P. Pinang,18.25,24.95,18.92,23.3,28.8,30.3,28.64,34.02,35.56,33.66,31.34
Sabah,38.05,39.12,37.63,38.43,44.6,34.1,36.85,35.14,39.32,38.27,34.77
Sarawak,6.69,8.33,21.42,24.65,42.4,29.5,25.17,32.82,44.31,43.44,34.67
Selangor,21.82,23.54,25.05,27.39,25.7,25.5,28.19,28.0,30.56,31.27,31.27
Terengganu,20.91,24.84,20.51,22.41,27.5,26.7,28.3,32.06,33.57,31.91,35.63
WP. Kuala Lumpur,34.62,35.99,26.73,26.86,26.3,31.5,31.34,31.34,31.43,38.46,38.01
WP. Labuan,0.0,32.13,22.32,32.44,27.4,48.6,40.66,35.26,41.78,40.75,36.26
WP. Putrajaya,35.11,33.91,24.03,18.17,29.3,35.8,42.28,36.77,38.41,37.27,33.64
